"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"KM2008-17D-ITS",82485,78631,78547,74785,0.0933503061162636
"KM2008-18D-ITS",68549,64169,63921,61018,0.109863017695371
"KM2008-19D-ITS",13168,12413,12407,12407,0.0577916160388821
"KM2008-21D-ITS",28202,26978,26967,26387,0.064357137791646
"KM2008-22D-ITS",30085,29000,28991,28991,0.0363636363636364
"KM2008-24D-ITS",48495,46039,45982,45034,0.0713681822868337
"KM2008-25D-ITS",30023,28692,28627,27293,0.0909302867801352
"KM2008-27D-ITS",42089,40270,40056,36925,0.122692389935613
"KM2008-28D-ITS",2616,2456,2453,2005,0.233562691131498
"KM2008-30D-ITS",27158,26285,26276,25969,0.0437808380587672
"KM2008-31D-ITS",47063,43261,43233,43233,0.0813802775003718
"KM2008-32D-ITS",565,533,522,522,0.0761061946902655
"KM2008-44D-ITS",25139,24152,24148,24148,0.0394208202394686
"KM2008-45D-ITS",20598,19462,19450,19450,0.0557335663656666
"KM2008-47D-ITS",106378,101703,101477,97758,0.0810317922878791
"KM2008-48D-ITS",68353,65097,64927,64703,0.0533992655772241
"KM2008-51D-ITS",106046,100942,100773,95740,0.0971842408011618
"KM2008-52D-ITS",49076,46908,46888,46763,0.0471309805200098
"KM2008-54D-ITS",178088,170191,168576,157779,0.114039126723867
"KM2008-55D-ITS",19632,18974,18832,18832,0.0407497962510187
"KM2008-62D-ITS",70712,67574,67558,66353,0.0616444167892296
"KM2008-63D-ITS",114155,108681,108477,102479,0.102281985020367
"KM2008-64D-ITS",14977,14088,14080,14080,0.0598918341456901
"KM2008-65D-ITS",18256,17445,17381,17381,0.0479294478527607
"KM2008-66D-ITS",45613,43336,43325,43325,0.0501611382719839
"KM2008-73D-ITS",13417,12618,12614,12614,0.0598494447342923
"KM2008-74D-ITS",26387,25168,25158,25158,0.0465759654375261
"KM2008-75D-ITS",8676,8108,8072,8072,0.0696173351775012
